,Fruits & vegetables,Meat,Milk products,Canned vegetables,Canned meat,Frozen goods,Beer,Wine,Soda drinks,Fish,Textile
939,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
940,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
941,No,No,No,No,No,No,No,No,Yes,No,Yes
942,No,No,No,Yes,No,No,No,No,No,No,Yes
943,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes
944,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes
945,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No
946,No,No,No,No,Yes,No,No,Yes,No,No,No
947,Yes,No,No,No,No,Yes,No,Yes,No,No,No
948,No,No,No,No,Yes,No,No,No,Yes,No,No
949,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No
950,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes
951,No,No,No,No,No,No,No,No,No,No,No
952,No,Yes,No,No,No,No,No,No,No,No,Yes
953,Yes,Yes,No,No,No,Yes,No,No,No,No,No
954,No,No,Yes,No,No,No,No,No,No,No,No
955,No,No,No,No,No,No,Yes,No,Yes,No,No
956,No,No,No,No,No,No,No,Yes,Yes,No,Yes
957,No,Yes,No,No,No,Yes,No,No,No,No,No
958,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No
959,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
960,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No
961,No,No,No,No,No,No,No,No,No,Yes,No
962,No,No,Yes,No,No,Yes,No,No,No,No,No
963,No,No,No,No,Yes,No,No,No,No,No,No
964,No,No,Yes,No,No,No,No,Yes,No,No,Yes
965,No,No,No,Yes,No,Yes,Yes,No,No,No,No
966,Yes,No,No,No,No,No,Yes,No,No,Yes,No
967,No,No,No,No,No,No,Yes,No,No,No,No
968,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes
969,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No
970,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes
971,No,No,No,No,No,No,No,Yes,No,No,No
972,No,No,No,No,No,Yes,No,No,No,No,No
973,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No
974,Yes,No,No,No,Yes,No,No,No,No,Yes,No
975,Yes,No,No,No,No,No,No,Yes,No,No,Yes
976,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No
977,No,No,No,No,No,No,Yes,Yes,No,No,No
978,No,No,No,No,No,No,Yes,No,No,No,No
979,Yes,No,Yes,No,No,No,No,No,No,No,No
980,No,No,No,Yes,No,Yes,Yes,No,No,No,No
981,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No
982,No,No,No,No,No,No,No,No,No,No,No
983,No,No,No,Yes,No,Yes,Yes,No,No,No,No
984,Yes,No,Yes,No,No,No,No,No,No,Yes,No
985,Yes,No,No,No,No,No,No,No,No,Yes,No
986,No,No,No,No,No,No,No,No,No,No,No
987,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes
988,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes
989,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No
990,Yes,No,No,No,No,Yes,No,No,No,No,No
991,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No
992,Yes,Yes,No,No,No,No,No,No,Yes,No,No
993,Yes,No,No,Yes,Yes,No,No,No,No,No,No
994,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes
995,No,No,No,Yes,No,No,No,No,No,No,No
996,Yes,No,No,Yes,No,No,No,No,No,Yes,No
997,No,Yes,No,No,No,No,No,No,No,No,No
998,Yes,No,No,No,No,No,No,Yes,No,No,Yes
999,No,No,Yes,No,No,No,No,No,Yes,No,Yes
